number	bepoch	bini	binlabel	codelabel	duration	enable	flag	item	latency	type	epoch
124.000000	124.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	4.000000	67701.000000	B1(196)	124.000000
125.000000	125.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	5.000000	68251.000000	B2(178)	125.000000
126.000000	126.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	6.000000	68801.000000	B3(134)	126.000000
127.000000	127.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	7.000000	69351.000000	B2(178)	127.000000
128.000000	128.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	8.000000	69901.000000	B1(194)	128.000000
129.000000	129.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	9.000000	70451.000000	B3(134)	129.000000
130.000000	130.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	10.000000	71001.000000	B2(174)	130.000000
131.000000	131.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	11.000000	71551.000000	B1(194)	131.000000
132.000000	132.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	12.000000	72101.000000	B4(116)	132.000000
133.000000	133.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	13.000000	72651.000000	B3(136)	133.000000
134.000000	134.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	14.000000	73201.000000	B2(176)	134.000000
135.000000	135.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	15.000000	73751.000000	B2(174)	135.000000
136.000000	136.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	16.000000	74301.000000	B4(114)	136.000000
137.000000	137.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	17.000000	74851.000000	B4(116)	137.000000
138.000000	138.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	18.000000	75401.000000	B2(176)	138.000000
139.000000	139.000000	4.000000	B4(118)	""	0.000000	1.000000	0.000000	19.000000	75951.000000	B4(118)	139.000000
140.000000	140.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	20.000000	76501.000000	B2(174)	140.000000
141.000000	141.000000	3.000000	B3(130)	""	0.000000	1.000000	0.000000	21.000000	77051.000000	B3(130)	141.000000
142.000000	142.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	22.000000	77601.000000	B1(196)	142.000000
143.000000	143.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	23.000000	78151.000000	B1(190)	143.000000
144.000000	144.000000	4.000000	B4(112)	""	0.000000	1.000000	0.000000	24.000000	78701.000000	B4(112)	144.000000
145.000000	145.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	25.000000	79251.000000	B4(116)	145.000000
146.000000	146.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	26.000000	79801.000000	B3(136)	146.000000
147.000000	147.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	27.000000	80351.000000	B2(176)	147.000000
148.000000	148.000000	1.000000	B1(198)	""	0.000000	1.000000	0.000000	28.000000	80901.000000	B1(198)	148.000000
149.000000	149.000000	3.000000	B3(132)	""	0.000000	1.000000	0.000000	29.000000	81451.000000	B3(132)	149.000000
150.000000	150.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	30.000000	82001.000000	B1(194)	150.000000
151.000000	151.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	31.000000	82551.000000	B1(194)	151.000000
152.000000	152.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	32.000000	83101.000000	B2(174)	152.000000
153.000000	153.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	33.000000	83651.000000	B3(136)	153.000000
154.000000	154.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	34.000000	84201.000000	B3(134)	154.000000
155.000000	155.000000	1.000000	B1(198)	""	0.000000	1.000000	0.000000	35.000000	84751.000000	B1(198)	155.000000
156.000000	156.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	36.000000	85301.000000	B1(196)	156.000000
157.000000	157.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	37.000000	85851.000000	B4(114)	157.000000
158.000000	158.000000	3.000000	B3(138)	""	0.000000	1.000000	0.000000	38.000000	86401.000000	B3(138)	158.000000
159.000000	159.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	39.000000	86951.000000	B2(174)	159.000000
160.000000	160.000000	4.000000	B4(112)	""	0.000000	1.000000	0.000000	40.000000	87501.000000	B4(112)	160.000000
161.000000	161.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	1.000000	88051.000000	B3(136)	161.000000
162.000000	162.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	2.000000	88601.000000	B2(178)	162.000000
163.000000	163.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	3.000000	89151.000000	B4(114)	163.000000
164.000000	164.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	4.000000	89701.000000	B1(196)	164.000000
165.000000	165.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	5.000000	90251.000000	B3(136)	165.000000
166.000000	166.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	6.000000	90801.000000	B1(194)	166.000000
167.000000	167.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	7.000000	91351.000000	B4(114)	167.000000
168.000000	168.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	8.000000	91901.000000	B2(176)	168.000000
169.000000	169.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	9.000000	92451.000000	B1(196)	169.000000
170.000000	170.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	10.000000	93001.000000	B3(136)	170.000000
171.000000	171.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	11.000000	93551.000000	B1(190)	171.000000
172.000000	172.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	12.000000	94101.000000	B2(170)	172.000000
173.000000	173.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	13.000000	94651.000000	B4(114)	173.000000
174.000000	174.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	14.000000	95201.000000	B1(190)	174.000000
175.000000	175.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	15.000000	95751.000000	B4(116)	175.000000
176.000000	176.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	16.000000	96301.000000	B2(178)	176.000000
177.000000	177.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	17.000000	96851.000000	B1(194)	177.000000
178.000000	178.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	18.000000	97401.000000	B3(134)	178.000000
179.000000	179.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	19.000000	97951.000000	B2(174)	179.000000
180.000000	180.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	20.000000	98501.000000	B1(196)	180.000000
181.000000	181.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	21.000000	99051.000000	B4(116)	181.000000
182.000000	182.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	22.000000	99601.000000	B2(174)	182.000000
183.000000	183.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	23.000000	100151.000000	B2(176)	183.000000
184.000000	184.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	24.000000	100701.000000	B4(114)	184.000000
185.000000	185.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	25.000000	101251.000000	B3(134)	185.000000
186.000000	186.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	26.000000	101801.000000	B2(176)	186.000000
187.000000	187.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	27.000000	102351.000000	B3(134)	187.000000
188.000000	188.000000	1.000000	B1(198)	""	0.000000	1.000000	0.000000	28.000000	102901.000000	B1(198)	188.000000
